1180,Dentistry,Dental Hygiene,Dentistry,0,,Dentistry
1181,Dentistry,Dental Hygiene,Dentistry,0,,Dentistry
1200,Dentistry,Dentistry,Dentistry,0,,Dentistry
2200,Dentistry,Dentistry,Dentistry,0,,Dentistry
3200,Dentistry,Dentistry Postgraduate,Dentistry,0,,Dentistry
3203,Dentistry,Dentistry Postgraduate,Dentistry,0,,Dentistry
3206,Dentistry,Dentistry Postgraduate,Dentistry,0,,Dentistry
3209,Dentistry,Dentistry Postgraduate,Dentistry,0,,Dentistry
3212,Dentistry,Dentistry Postgraduate,Dentistry,0,,Dentistry
3215,Dentistry,Dentistry Postgraduate,Dentistry,0,,Dentistry
3218,Dentistry,Dentistry Postgraduate,Dentistry,0,,Dentistry
4005,Dentistry,Dentistry Resident,Dentistry,0,,Dentistry
2201,Dentistry,International Dentistry,Dentistry,0,,Dentistry
5600,Grad Acad,Oral and Craniofacial Sciences,Dentistry,1,"MS, PhD",Grad Acad
,Dependents,Dependents of students or SRHPs,Dependents,,,Dependents
,Grad Acad,Clinical Research Certificate Program,Grad Div (only),1,Certificate,Grad Acad
,Grad Acad,Clinical Research MAS,Grad Div (only),1,Is this Grad only?,Grad Acad
5266,Medicine,Advanced Training in Clinical Research,Medicine,0,,Medicine
5020,Medicine,Anatomy,Medicine,0,,Medicine
4025,Medicine,Anesthesia,Medicine,0,,Medicine
5060,Grad Acad,Biochemistry and Molecular Biology,Medicine,1,PhD,Grad Acad
5063,Grad Acad,Bioengineering,Medicine,1,PhD,Grad Acad
5067,Grad Acad,Biomedical Imaging
5080,Grad Acad,Dental Hygiene
5215,Grad Acad,Dev&SteCell Bi
5000,Medicine,BIOMATH,Medicine,0,,Medicine
5500,Medicine,Biomedical Research,Medicine,0,,Medicine
5065,Grad Acad,Biomedical Sciences,Medicine,1,PhD,Grad Acad
5066,Grad Acad,Biophysics,Medicine,1,PhD,Grad Acad
4140,Medicine,Cancer Research Inst,Medicine,0,,Medicine
4125,Medicine,Cardiovascular Research,Medicine,0,,Medicine
5115,Grad Acad,Cell Biology (TETRAD),Medicine,1,PhD,Grad Acad
5124,Medicine,Clinical Laboratory Science,Medicine,0,,Medicine
5141,Medicine,Comparative Pharmacology & Toxicology,Medicine,0,,Medicine
4210,Medicine,Dermatology,Medicine,0,,Medicine
5210,Grad Acad,Developmental Biology,Medicine,1,PhD,Grad Acad
5265,Medicine,Endocrinology,Medicine,0,,Medicine
5290,Grad Acad,Epidemiology and Translational Science,Medicine,1,PhD,Grad Acad
1295,Medicine,Exfoliative Cytology,Medicine,0,,Medicine
5272,Medicine,Experimental Pathology,Medicine,0,,Medicine
4015,Medicine,Family & Community Medicine,Medicine,0,,Medicine
5285,Grad Acad,Genetics (TETRAD),Medicine,1,PhD,Grad Acad
5372,Grad Acad,History of Health Sciences,Medicine,1,"MA, PhD",Grad Acad
5380,Medicine,Human Devel & Aging,Medicine,0,,Medicine
5400,Medicine,Immunology,Medicine,0,,Medicine
4124,Medicine,Laboratory Medicine,Medicine,0,,Medicine
5445,Medicine,Medical & Biological Illustration,Medicine,0,,Medicine
5440,Grad Acad,Medical Anthropology,Medicine,1,PhD,Grad Acad
1495,Medicine,Medical Technology,Medicine,0,,Medicine
2500,Medicine,Medicine,Medicine,0,,Medicine
2501,Medicine,Medicine (UCB),Medicine,0,,Medicine
4500,Medicine,Medicine Resident,Medicine,0,,Medicine
5515,Medicine,Microbiology,Medicine,0,,Medicine
4540,Medicine,Nerology,Medicine,0,,Medicine
4538,Medicine,Neurological Surgery,Medicine,0,,Medicine
5530,Grad Acad,Neuroscience,Medicine,1,PhD,Grad Acad
4575,Medicine,Obstetrics & Gynecology,Medicine,0,,Medicine
4590,Medicine,Ophthalmology,Medicine,0,,Medicine
4645,Medicine,Orthopaedic Surgery,Medicine,0,,Medicine
4660,Medicine,Otolaryngology,Medicine,0,,Medicine
5010,Medicine,Pain Management,Medicine,0,,Medicine
4679,Medicine,Pathology,Medicine,0,,Medicine
5685,Medicine,Pathology,Medicine,0,,Medicine
4685,Medicine,Pediatrics,Medicine,0,,Medicine
5720,Medicine,Pharmacology,Medicine,0,,Medicine
1750,Medicine,Physical Therapy,Medicine,0,,Medicine
5752,Physical Therapy,Physical Therapy (DPT),Medicine,1,DPT,Physical Therapy
5751,Physical Therapy,Physical Therapy (DPTSc),Medicine,1,DPTSc,Physical Therapy
5750,Physical Therapy,Physical Therapy (MS),Medicine,0,,Physical Therapy
5755,Medicine,Physiology,Medicine,0,,Medicine
4790,Medicine,Psychiatry,Medicine,0,,Medicine
5490,Medicine,Psychiatry,Medicine,0,,Medicine
